མྱང,མྱོང
མྱངས,མྱོང
མྱུགས,མྱུག
མྱོངས,མྱོང
ཚང,འཚང
ཚིག,འཚིག
ཚིམས,ཚིམ
ཚུགས,འཛུགས
ཚུད,འཚུད
ཚུམ,གཟུམ
ཚུམས,འཚུམ
ཚེམ,འཚེམ
ཚེམས,འཚེམ
ཚོད,ཚད
ཚོལ,བཙལ
ཚོལད,བཙལ
ཚོས,འཚོད
ཞ,ཕྱ
ཞིག,འཇིག
ཞིལ,བྱིལ
ཞུགས,འཇུག
ཞོས,འཇོ
ཟད,འཛད
ཟུང,འཛིན
ཟུངས,འཛིན
ཟུད,བཙུད
ཟུར,འཛུར
ཟེམ,འཛེམ
ཟོ,ཟ
ཟླུགས,ཟླུག
ཟླུམས,ཟླུམ
ཟློགས,ཟློག
འཁངས,འཁང
འཁལ,འཁེལ
འཁུམས,འཁུམ
འཁུས,འཁུ
འཁེགས,ཁེགས
འཁེངས,འཁེང
འཁེབ,ཁེབ
འཁོད,བཀོད
འཁོབས,འཁོབ
འཁྱགས,འཁྱག
འཁྱམས,འཁྱམ
འཁྱིགས,འཁྱིག
འཁྱུགས,འཁྱུག
འཁྱེ,གྱེས
འཁྱོགས,འཁྱོག
འཁྲབས,འཁྲབ
འཁྲིས,འཁྲི
འཁྲུངས,འཁྲུང
འཁྲུས,འཁྲུ
འཁྲེབས,འཁྲེབ
འཁྲོ,ཁྲོ
འཁྲོབས,འཁྲབ
འཁྲོས,ཁྲོ
འགགས,འགག
འགམ,འགེམ
འགམས,འགེམ
འགུག,འགུགས
འགེགས,བཀག
འགེལ,བཀལ
འགོས,འགོ
འགྱངས,འགྱང
འགྱུས,འགྱུ
འགྲངས,འགྲང
འགྲིགས,འགྲིག
འགྲེད,འདྲེད
འགྲེས,འགྲེ
འགྲོག,འགྲོགས
འགྲོང,དགྲོང
འགྲོངས,བཀྲོངས
འཆགས,བཤགས
འཆམས,འཆམ
འཆུགས,འཆུག
འཆུས,འཆུ
འཆོ,འཆོས
འཆོགས,བཤགས
འཆོབས,འཆབ
འཆོམས,འཆམ
འཇགས,གཅག
འཇངས,འཇོང
འཇབས,འཇབ
འཇའ,ཞ
འཇས,ཞ
འཇིབས,འཇིབ
འཇོངས,འཇོང
འཇོབ,འཇབ
འཇོལ,འཇལ
འཇོས,འཇོ
འཐབས,འཐབ
འཐམས,འཐམ
འཐིགས,འཐིག
འཐིབས,འཐིབ
འཐུངས,འཐུང
འཐུད,མཐུད
འཐུལ,ཐུལ
འཐུས,འཐུ
འཐེངས,འཐེང
འཐེབས,འཐེབ
འཐོབས,འཐབ
འཐོལ,མཐོལ
འདངས,འདང
འདས,འདའ
འདུམས,འདུམ
འདུས,འདུ
འདོམ,འདེམ
འདོས,འདའ
འདྲུབས,འདྲུབ
འདྲེས,འདྲེ
འདྲོགས,འདྲོག
འདྲོད,འདྲད
འཕགས,འཕག
འཕངས,འཕེན
འཕོགས,འཕག
འཕོས,འཕོ
འཕྱགས,འཕྱག
འཕྱངས,འཕྱང
འཕྱས,འཕྱ
འཕྱིངས,འཕྱིང
འཕྱིས,འཕྱི
འཕྱུགས,འཕྱུག
འཕྱེས,འཕྱེ
འཕྱོགས,འཕྱག
འཕྱོན,འཕྱན
འཕྲས,འཕྲ
འཕྲུ,ཕྲུ
འཕྲོས,འཕྲོ
འབགས,འབག
འབིགས,འབིག
འབུག,འབིག
འབུས,འབུ
འབྱམས,འབྱམ
འབྲངས,འབྲང
འབྲིམས,འབྲིམ
འབྲུད,འབྲུ
འབྲོབ,འབྲབ
འཚངས,འཚང
འཚབས,འཚབ
འཚམས,འཚམ
འཚུབས,འཚུབ
འཚེངས,འཚེང
འཚེད,འཚོད
འཚེལ,འཚོལ
འཚེས,འཚེ
འཚོངས,འཚང
འཚོབས,འཚབ
འཛགས,འཚག
འཛེགས,འཛེག
འཛེར,མཛེར
འོངས,འོང
ཡེལ,གཡེལ
ཡོགས,ཡོག
རུབས,རུབ
རྐོམས,རྐམ
རྐྱོངས,རྐྱོང
རྐྱོལ,རྐྱལ
རྒས,རྒ
རྒྱས,རྒྱ
རྒྱུགས,རྒྱུག
རྒྱུངས,རྒྱུང
རྒྱུས,རྒྱུད
རྒྱོགས,རྒྱག
རྒྱོངས,རྒྱོང
རྒྱོན,བརྒྱན
རྒྱོབ,རྒྱག
རྒྱོས,རྒྱོ
རྔུབས,རྔུབ
རྗེས,རྗེ
རྙོགས,རྙོག
རྙོབས,རྙབ
རྙོས,རྙ
རྟིབས,རྟིབ
རྟོགས,རྟོག
རྡིབས,བརྡིབས
རྡུངས,རྡུང
རྡེགས,རྡེག
རྡེབས,རྡེབ
རྡོབས,རྡེབ
རྣགས,རྣག
རྣུར,རྣུ
རྣོགས,རྣོག
རྣོབས,རྣབ
རྦོ,སྦོ
རྦོས,སྦོས
རྨས,རྨེད
རྨིས,རྨི
རྨུས,དམུས
རྨོན,རྨོ
རྨྱང,རྨྱོང
རྨྱངས,རྨྱོང
རྨྱས,རྨྱ
རྨྱོངས,རྨྱོང
རྩིགས,རྩིག
རྩིས,རྩི
རྩེགས,རྩེག
རྩེངས,རྩེང
རྩེལ,སྩེལ
རྩེས,རྩེ
རྩོམས,རྩོམ
རྩོལ,བརྩལ
རྫིས,རྫི
རྫུས,རྫུ
རྫེས,རྫེ
རྫོགས,རྫོག
རྫོངས,རྫོང
རྫོས,རྫོ
རླིངས,རླིང
རླུག,རླུགས
རློག,རླག
རློངས,རློང
རློམས,རློམ
རློས,རློ
ལོབས,ལོབ
ལོས,ལས
ལྟུངས,ལྟུང
ལྟེབས,ལྟེབ
ལྟེམས,ལྟེམ
ལྟོབས,ལྟབ
ལྟོས,ལྟ
ལྡངས,ལྡང
ལྡིངས,ལྡིང
ལྡེགས,ལྡེག
